new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC	mid_range_cell_type_count	mid_range_broad_type_count
Galaxea_fascicularis_REEFv1___m1.7166.m1	1	1	adult_neuron_10	adult_neuron	3.01307951647306	0	0
Galaxea_fascicularis_REEFv1___m1.15188.m1	1	1	adult_neuron_12	adult_neuron	2.64876022286324	0	0
Galaxea_fascicularis_REEFv1___m1.14777.m1	1	1	adult_gland_5	adult_gland	2.92233309987358	0	0
Galaxea_fascicularis_REEFv1___m1.3862.m1	1	1	adult_calicoblast	adult_calicoblast	3.57927330148297	0	0
Galaxea_fascicularis_REEFv1___m1.16922.m1	1	1	adult_gland_8	adult_gland	2.85035898011673	0	0
Galaxea_fascicularis_REEFv1___m1.259.m1	1	1	adult_germline_sperm	adult_germline	5.28114740904316	0	0
Galaxea_fascicularis_REEFv1___m1.8066.m1	1	1	adult_cnidocyte	adult_cnidocyte	3.14127842667485	0	0
Galaxea_fascicularis_REEFv1___m1.7810.m1	1	1	adult_germline_sperm	adult_germline	3.66232853105188	0	0
Galaxea_fascicularis_REEFv1___m1.5332.m1	1	1	adult_unknown	adult_unknown	3.13029478759444	0	0
Galaxea_fascicularis_REEFv1___m1.11121.m1	1	1	adult_gland_9	adult_gland	4.75005118221391	0	0
Galaxea_fascicularis_REEFv1___m1.1076.m1	1	1	adult_germline_sperm	adult_germline	2.71187628159154	0	0
Galaxea_fascicularis_REEFv1___m1.7773.m1	1	1	adult_neuron_12	adult_neuron	4.11566204289925	0	0
Galaxea_fascicularis_REEFv1___m1.23747.m1	1	1	adult_neuron_10	adult_neuron	2.69074882771188	0	0
Galaxea_fascicularis_REEFv1___m1.17940.m1	1	1	adult_neuron_13	adult_neuron	2.68468936886213	0	0
Galaxea_fascicularis_REEFv1___m1.15275.m1	1	1	adult_germline_sperm	adult_germline	3.11779330392213	0	0
Galaxea_fascicularis_REEFv1___m1.20854.m1	1	1	adult_germline_sperm	adult_germline	3.51014402994045	0	0
Galaxea_fascicularis_REEFv1___m1.20338.m1	1	1	adult_neuron_12	adult_neuron	5.3168436745995	0	0
Galaxea_fascicularis_REEFv1___m1.15397.m1	1	1	adult_germline_sperm	adult_germline	3.98005400153763	0	0
Galaxea_fascicularis_REEFv1___m1.16691.m1	1	1	adult_cnidocyte	adult_cnidocyte	3.20303539879073	0	0
Galaxea_fascicularis_REEFv1___m1.6992.m1	1	1	adult_germline_sperm	adult_germline	2.75069768711949	0	0
Galaxea_fascicularis_REEFv1___m1.16175.m1	1	1	adult_gland_6	adult_gland	2.71962779982887	0	0
Galaxea_fascicularis_REEFv1___m1.17827.m1	1	1	adult_gland_4	adult_gland	7.29107198204823	0	0
Galaxea_fascicularis_REEFv1___m1.741.m1	1	1	adult_germline_sperm	adult_germline	4.83282899285837	0	0
Galaxea_fascicularis_REEFv1___m1.17148.m1	1	1	adult_neuron_13	adult_neuron	3.94438922532354	0	0
Galaxea_fascicularis_REEFv1___m1.14259.m1	1	1	adult_neuron_13	adult_neuron	3.44387846179679	0	0
Galaxea_fascicularis_REEFv1___m1.6074.m1	1	1	adult_germline_sperm	adult_germline	5.13536684440458	0	0
Galaxea_fascicularis_REEFv1___m1.2770.m1	1	1	adult_cnidocyte	adult_cnidocyte	2.61291606629655	0	0
